;
c) Consommation effective des ménages (Base 2010), Boissons alcoolisées et tabac, Valeur à prix courants, Mos EUR;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=709;
;
;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;;
R52 Pays de la Loire; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R53 Bretagne; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R54 Poitou-Charentes; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R72 Aquitaine; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R73 Midi-Pyrénées; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R74 Limousin; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R82 Rhône-Alpes; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R83 Auvergne; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R91 Languedoc-Roussillon; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R93 Provence-Alpes-Côte d'Azur; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
R94 Corse; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ROM Départements d'Outre-Mer; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
;
Eco-Santé France, Régions & Départements - Mise à jour : Avril 2016;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA;
